ID;művész;cím;letöltve;típus;kor
1;Kolozsvári Márton és György;Szent György bronzszobra (Prága);x;;
2;Id. Markó Károly;Champagnai táj;c;;
3;Ferenczy István;Kölcsey Ferenc szobra;x;;
4;Brocky Károly;Pihenő Pszyché (helyett: Vénusz és Ámor);x;;
5;Barabás Miklós;Önarckép;x;;
6;Borsos József;Leányok bál után;x;;
7;Orlay Petrich Soma;Anyám;x;;
8;Zichy Mihály;Illusztráció Arany János Hídavatás c. balladájához;x;;
9;Than Mór;Attila lakomája (freskó);x;;
10;Madarász Viktor;Zrinyi és Frangepán a bécsújhelyi börtönben;x;;
11;Izsó Miklós;Táncoló paraszt (vázlat);x;;
12;Lotz Károly;Múzsa;x;;
13;Székely Bertalan;II. Lajos holttestének megtalálása;x;;
14;Liezen Mayer Sándor;Faust és Margaréta;x;;
15;Huszár Adolf;Petőfi emlékszobor (Budapest);x;;
16;Mészöly Géza;A balaton öble az akarattyai partokkal;x;;
17;Munkácsi Mihály;Köpülő asszony;x;;
18;Benczúr Gyula;Budavár visszavétele;x;;
19;Szinyei Merse Pál;Ruhaszárítás;x;;
20;Paál László;Út a fointanbleu-i erdőben (a pakliból hiányzik);x;;
21;Mednyánszky László;Parasztlegény;c;;
22;Fényes Adolf;Napszámos;x;;
23;Bihary Sándor;Bíró előtt;x;;
24;Stróbl Alajos;Anyánk;x;;
25;Hollsy Simon;Önarckép;x;;
26;Gyárfás Jenő;Tetemrehívás;x;;
27;Fadrusz Jámos;Mátyás Király emlékszobra (Kolozsvár);x;;
28;Zala György;A háború alakja a Millenniumi Emlékműről;x;;
29;Révész Imre;Panem;x;;
30;Rippl-Rónai József;Öreg hölgy ibolyával;x;;
31;Ferenczy Károly;Festőnő;x;;
32;Csók István;Züzü beteg;x;;
33;Csontváry Kosztka Tivadar;Magányos cédrus;x;;
34;Ligeti Miklós;Anonymus;x;;
35;Glatz Oszkár;Libapásztor lányok;x;;
36;Kernstok Károly;Lovasok a vízparton;x;;
37;Pór Bertalan;Önarckép;x;;
38;Medgyessy Ferenc;Művészet;x;;
39;Egry József;Balatoni halászok;x;;
40;Kisfaludi Stróbl Zsigmond;G. B. Shaw portréja (a pakliból hiányzik);x;;
41;Ferenczy Noémi;Kőműves;x;;
42;Aba Novák Vilmos;Cirkusz;x;;
43;Szőnyi István;Zebegényi temetés;x;;
44;Bernáth Aurél;Reggel;x;;
45;Derkovits Gyula;Híd télen;x;;
46;Pátzay Pál;Lovasszobor (Székesfehérvár);x;;
47;Barcsay Jenő;Festőállvány;c;;
48;Ék Sándor;Politikai plakát;c;;
49;Hincz Gyula;Leány galambbal;NA;;
50;Domanovszky Endre;Martinászok;c;;
51;Kolozsvári Tamás;Myriai Szent Miklós (Esztergom, Keresztény Múzeum);;;
52;M. S. mester;Kálvária (Esztergom, Keresztény Múzeum);;;
53;Bogdány Jakab;Csendélet papagájokkal;;;
54;Mányoki Ádám;Önarckép;;;
55;Hebenstreit József;Szent Bonaventura (Szécsény, Ferences templom);;;
56;Franz Anton Maulbertsch;Önarckép (Freskórészlet, Sümeg, r. k. plébániatemplom);;;
57;Dorfmeister István;Szigetvár felszabadítása (Mennyezetkép részlet, Szigetvár, r. k. plébániatemplom);;;
58;Kisfaludy Károly;Éji szélvész;;;
59;Marastoni Jakab;Görög nő;;;
60;Dunaiszky Lőrinc;Flóra (Fülkeszobor);;;
61;Györgyi (Griegl) Alajos;Deák Szidónia arcképe;;;
62;Molnár József;Dezső vitéz önfeláldozása;;;
63;Jankó János;Mennyegzői dráma;;;
64;Keleti Gusztáv;A száműzött parkja (a pakliból hiányzik);;;
65;Deák Ébner Lajos;Baromfivásár;;;
66;Feszty Árpád;Bányásszerencsétlenség;;;
67;Róna József;Savoyai Jenő lovasszobra (Budapest);;;
68;Iványi Grünwald Béla;Itatás;;;
69;Tornyai János;Gémeskút (Délibáb);;;
70;Thorma János;Október elseje;;;
71;Telcs Ede;Anyaság (Érem);;;
72;Réti István;Honvédtemetés;;;
73;Nagy István;Parasztasszony;;;
74;Koszta József;Kukoricatörés;;;
75;Endre Béla;Interieur;;;
76;Rudnay Gyula;Csipkekendős asszony;;;
77;Pásztor János;Búcsúzkodás;;;
78;Nagy Balogh János;Anyám;;;
79;Gulácsy Lajos;A varázsló kertje;;;
80;Czigáy Dezső;Csendélet;;;
81;Márffy Ödön;Csinszka;;;
82;Tihanyi Lajos;Önarckép;;;
83;Vaszary János;Parkban;;;
84;Nemes Lampérth József;Női akt;;;
85;Goldman György;Könyöklő munkás;;;
86;Ámos Imre;Halászasszony;;;
87;Berényi Róbert;Halat tartó nő;;;
88;Beck Ö. Fülöp;Ifjuság kútja (Budapest);;;
89;Uitz Béla;Anya gyermekével (a pakliból hiányzik);;;
90;Mészáros László;Parasztfiú;;;
91;Vedres Márk;Ádám és Éva;;;
92;Dési Hubert István;Csendélet szőlővel és kenyérrel;;;
93;Bokros-Birman Dezső;Önarckép;;;
94;Czóbel Béla;Múzsa;;;
95;Ferenczy Béni;Miklós;;;
96;Vajda Lajos;Gondolkodó;;;
97;Kerényi Jenő;Sátoraljaújhelyi partizán emlémkmű;;;
98;Mikus Sándor;Fésülködő nő;;;
99;Kmetty János;Csendélet;;;
100;Borsos Miklós;Egry József portréja;;;
